,is_weekend,hour,hex_6,unique_drivers,util_time,all_time,util,completed_deliveries,confirmed_deliveries,cdr
120,0,2,8611aa447ffffff,82,559,1008,0.5545634920634921,17,18,0.9444444444444444
121,0,2,8611aa44fffffff,94,870,1712,0.508177570093458,28,28,1.0
122,0,2,8611aa457ffffff,43,351,988,0.35526315789473684,9,9,1.0
123,0,2,8611aa45fffffff,206,2912,5156,0.5647788983708301,52,57,0.9122807017543859
124,0,2,8611aa46fffffff,63,427,550,0.7763636363636364,1,2,0.5
125,0,2,8611aa49fffffff,5,11,22,0.5,1,1,1.0
126,0,2,8611aa4c7ffffff,130,1895,4259,0.44494012679032635,52,61,0.8524590163934426
127,0,2,8611aa4cfffffff,153,1031,2471,0.41723998381222177,19,21,0.9047619047619048
128,0,2,8611aa4d7ffffff,29,188,549,0.3424408014571949,1,1,1.0
129,0,2,8611aa4dfffffff,92,521,1090,0.4779816513761468,16,17,0.9411764705882353
130,0,2,8611aa4e7ffffff,77,484,1795,0.26963788300835656,8,10,0.8
131,0,2,8611aa4efffffff,182,2049,4307,0.4757371720455073,35,40,0.875
132,0,2,8611aa4f7ffffff,21,43,102,0.4215686274509804,1,1,1.0
133,0,2,8611aa507ffffff,8,18,192,0.09375,1,1,1.0
134,0,2,8611aa56fffffff,10,19,38,0.5,1,1,1.0
135,0,2,8611aa607ffffff,134,1141,2303,0.49544072948328266,31,31,1.0
136,0,2,8611aa617ffffff,175,2109,4112,0.5128891050583657,42,46,0.9130434782608695
137,0,2,8611aa61fffffff,122,809,2176,0.3717830882352941,13,16,0.8125
138,0,2,8611aa627ffffff,148,1918,4381,0.4377995891349007,32,38,0.8421052631578947
139,0,2,8611aa637ffffff,224,4779,6017,0.7942496260594981,83,86,0.9651162790697675
140,0,2,8611aa687ffffff,172,500,1301,0.3843197540353574,16,16,1.0
141,0,2,8611aa68fffffff,40,302,510,0.592156862745098,3,3,1.0
142,0,2,8611aa697ffffff,138,741,1617,0.4582560296846011,22,22,1.0
143,0,2,8611aa6a7ffffff,229,2205,4974,0.44330518697225574,50,53,0.9433962264150944
144,0,2,8611aa6afffffff,152,891,1924,0.4630977130977131,12,13,0.9230769230769231
145,0,2,8611aa6b7ffffff,187,1926,5338,0.3608092918696141,71,74,0.9594594594594594
146,0,2,8611aa6dfffffff,12,56,153,0.3660130718954248,1,1,1.0
147,0,2,8611aa707ffffff,164,1473,3737,0.39416644367139414,34,38,0.8947368421052632
148,0,2,8611aa70fffffff,182,1627,4231,0.38454266130938314,53,59,0.8983050847457628
149,0,2,8611aa717ffffff,168,2122,4293,0.49429303517353834,55,61,0.9016393442622951
150,0,2,8611aa71fffffff,210,2414,4416,0.5466485507246377,54,60,0.9
151,0,2,8611aa727ffffff,131,842,1707,0.4932630345635618,9,9,1.0
152,0,2,8611aa72fffffff,145,996,2182,0.45646196150320806,11,14,0.7857142857142857
153,0,2,8611aa737ffffff,115,807,1882,0.4287991498405951,22,25,0.88
154,0,2,8611aa747ffffff,1,0,24,0.0,1,1,1.0
155,0,2,8611aa74fffffff,7,25,276,0.09057971014492754,3,3,1.0
156,0,2,8611aa757ffffff,112,382,845,0.45207100591715976,113,120,0.9416666666666667
157,0,2,8611aa767ffffff,6,49,56,0.875,0,0,0.0
158,0,2,8611aa787ffffff,212,3308,4936,0.6701782820097245,72,77,0.935064935064935
159,0,2,8611aa78fffffff,293,4725,7047,0.6704980842911877,112,118,0.9491525423728814
160,0,2,8611aa797ffffff,182,1863,3951,0.4715261958997722,54,59,0.9152542372881356
161,0,2,8611aa79fffffff,181,1189,2692,0.4416790490341753,59,61,0.9672131147540983
162,0,2,8611aa7a7ffffff,165,2457,3592,0.6840200445434298,51,54,0.9444444444444444
163,0,2,8611aa7afffffff,269,4826,6798,0.7099146807884672,73,83,0.8795180722891566
164,0,2,8611aa7b7ffffff,151,2325,4464,0.5208333333333334,50,54,0.9259259259259259
165,0,3,861181a47ffffff,8,58,125,0.464,1,1,1.0
166,0,3,861181a4fffffff,33,295,670,0.44029850746268656,8,9,0.8888888888888888
167,0,3,861181a57ffffff,10,56,151,0.3708609271523179,1,1,1.0
168,0,3,861181a5fffffff,5,28,39,0.717948717948718,1,1,1.0
169,0,3,861181a6fffffff,99,673,1861,0.3616335303600215,16,18,0.8888888888888888
170,0,3,861181a77ffffff,13,43,71,0.6056338028169014,2,2,1.0
171,0,3,861181ae7ffffff,5,17,164,0.10365853658536585,2,2,1.0
172,0,3,861181b0fffffff,91,520,825,0.6303030303030303,8,8,1.0
173,0,3,861181b1fffffff,1,0,1,0.0,1,1,1.0
174,0,3,861181b27ffffff,8,28,37,0.7567567567567568,3,3,1.0
175,0,3,861181b2fffffff,92,845,1937,0.436241610738255,22,23,0.9565217391304348
176,0,3,861181b47ffffff,281,2143,3498,0.6126357918810749,6,7,0.8571428571428571
177,0,3,861181b4fffffff,326,2598,5716,0.4545136459062281,86,92,0.9347826086956522
178,0,3,861181b67ffffff,445,5529,9694,0.5703527955436353,103,110,0.9363636363636364
179,0,3,861181b6fffffff,295,3115,6750,0.4614814814814815,49,52,0.9423076923076923
180,0,3,861181b77ffffff,175,1424,3433,0.41479755316050104,22,23,0.9565217391304348
181,0,3,86118cd27ffffff,30,307,611,0.502454991816694,8,8,1.0
182,0,3,86118cd37ffffff,20,27,46,0.5869565217391305,2,2,1.0
183,0,3,8611aa09fffffff,80,738,1746,0.422680412371134,17,17,1.0
184,0,3,8611aa0afffffff,16,71,102,0.696078431372549,1,1,1.0
185,0,3,8611aa0c7ffffff,27,341,527,0.6470588235294118,9,10,0.9
186,0,3,8611aa0e7ffffff,22,154,216,0.7129629629629629,2,2,1.0
187,0,3,8611aa0f7ffffff,11,21,23,0.9130434782608695,1,1,1.0
188,0,3,8611aa197ffffff,40,335,549,0.6102003642987249,9,9,1.0
189,0,3,8611aa40fffffff,43,191,711,0.26863572433192684,5,5,1.0
190,0,3,8611aa447ffffff,248,1525,2317,0.6581786793267156,35,35,1.0
191,0,3,8611aa44fffffff,214,2353,3577,0.6578138104556891,44,47,0.9361702127659575
192,0,3,8611aa457ffffff,112,1063,2543,0.41801022414471095,33,35,0.9428571428571428
193,0,3,8611aa45fffffff,426,6328,10169,0.6222834103648343,105,114,0.9210526315789473
194,0,3,8611aa467ffffff,20,169,226,0.7477876106194691,3,3,1.0
195,0,3,8611aa46fffffff,209,1446,1808,0.7997787610619469,7,8,0.875
196,0,3,8611aa49fffffff,6,42,98,0.42857142857142855,2,2,1.0
197,0,3,8611aa4c7ffffff,222,3487,6832,0.5103922716627635,109,115,0.9478260869565217
198,0,3,8611aa4cfffffff,320,2752,6555,0.4198321891685736,67,67,1.0
199,0,3,8611aa4d7ffffff,47,460,1027,0.44790652385589097,17,17,1.0
200,0,3,8611aa4dfffffff,237,1324,2629,0.503613541270445,42,44,0.9545454545454546
201,0,3,8611aa4e7ffffff,130,1093,2688,0.40662202380952384,17,17,1.0
202,0,3,8611aa4efffffff,375,4476,7679,0.5828883969266831,71,75,0.9466666666666667
203,0,3,8611aa4f7ffffff,46,140,244,0.5737704918032787,1,1,1.0
204,0,3,8611aa507ffffff,10,21,244,0.0860655737704918,1,2,0.5
205,0,3,8611aa51fffffff,9,12,12,1.0,2,2,1.0
206,0,3,8611aa567ffffff,6,22,32,0.6875,1,2,0.5
207,0,3,8611aa56fffffff,38,71,91,0.7802197802197802,3,4,0.75
208,0,3,8611aa607ffffff,326,2987,4548,0.6567722075637643,70,72,0.9722222222222222
209,0,3,8611aa617ffffff,403,5321,8589,0.6195133310047736,117,118,0.9915254237288136
210,0,3,8611aa61fffffff,281,1711,3811,0.44896352663342953,25,26,0.9615384615384616
211,0,3,8611aa627ffffff,347,4875,8524,0.571914594087283,103,106,0.9716981132075472
212,0,3,8611aa62fffffff,253,910,1418,0.6417489421720733,3,3,1.0
213,0,3,8611aa637ffffff,440,7757,10750,0.7215813953488373,138,141,0.9787234042553191
214,0,3,8611aa677ffffff,61,90,118,0.7627118644067796,5,5,1.0
215,0,3,8611aa687ffffff,395,3194,4856,0.6577429983525536,476,495,0.9616161616161616
216,0,3,8611aa68fffffff,87,474,1024,0.462890625,9,9,1.0
217,0,3,8611aa697ffffff,300,1794,2512,0.714171974522293,49,52,0.9423076923076923
218,0,3,8611aa69fffffff,18,83,140,0.5928571428571429,1,1,1.0
219,0,3,8611aa6a7ffffff,533,6388,12023,0.5313149796223904,128,138,0.927536231884058
220,0,3,8611aa6afffffff,318,2344,4474,0.5239159588734913,27,34,0.7941176470588235
221,0,3,8611aa6b7ffffff,417,5100,10327,0.4938510700106517,132,148,0.8918918918918919
222,0,3,8611aa6dfffffff,41,230,447,0.5145413870246085,1,1,1.0
223,0,3,8611aa707ffffff,326,4161,8235,0.5052823315118397,95,99,0.9595959595959596
224,0,3,8611aa70fffffff,396,4291,9198,0.4665144596651446,132,141,0.9361702127659575
225,0,3,8611aa717ffffff,412,5950,9480,0.6276371308016878,124,131,0.9465648854961832
226,0,3,8611aa71fffffff,474,6564,9333,0.7033108325297333,125,134,0.9328358208955224
227,0,3,8611aa727ffffff,290,2146,4141,0.5182323110359817,21,22,0.9545454545454546
228,0,3,8611aa72fffffff,320,2544,5424,0.4690265486725664,35,41,0.8536585365853658
229,0,3,8611aa737ffffff,279,2812,4924,0.5710804224207962,59,65,0.9076923076923077
230,0,3,8611aa74fffffff,15,173,536,0.32276119402985076,3,3,1.0
231,0,3,8611aa757ffffff,211,2545,3431,0.7417662489070241,208,234,0.8888888888888888
232,0,3,8611aa75fffffff,14,57,89,0.6404494382022472,1,1,1.0
233,0,3,8611aa767ffffff,31,118,215,0.5488372093023256,4,4,1.0
234,0,3,8611aa777ffffff,113,355,523,0.6787762906309751,3,3,1.0
235,0,3,8611aa787ffffff,501,9016,12465,0.723305254713197,158,168,0.9404761904761905
236,0,3,8611aa78fffffff,671,12223,16431,0.7438987280141196,176,188,0.9361702127659575
237,0,3,8611aa797ffffff,398,5851,10678,0.5479490541299868,159,170,0.9352941176470588
238,0,3,8611aa79fffffff,441,4133,7390,0.5592692828146143,114,121,0.9421487603305785
239,0,3,8611aa7a7ffffff,381,5800,8053,0.7202284862784055,101,107,0.9439252336448598
240,0,3,8611aa7afffffff,544,10960,14489,0.7564359169024777,136,151,0.9006622516556292
241,0,3,8611aa7b7ffffff,309,5364,8916,0.6016150740242261,91,95,0.9578947368421052
242,0,4,861181a47ffffff,17,100,188,0.5319148936170213,9,11,0.8181818181818182
243,0,4,861181a4fffffff,66,617,1005,0.6139303482587065,4,4,1.0
244,0,4,861181a57ffffff,13,67,160,0.41875,2,3,0.6666666666666666
245,0,4,861181a5fffffff,15,97,137,0.708029197080292,5,5,1.0
246,0,4,861181a67ffffff,23,94,128,0.734375,4,4,1.0
247,0,4,861181a6fffffff,178,2009,2982,0.6737089201877934,20,21,0.9523809523809523
248,0,4,861181aa7ffffff,16,26,46,0.5652173913043478,1,1,1.0
249,0,4,861181ae7ffffff,3,71,121,0.5867768595041323,1,3,0.3333333333333333
250,0,4,861181b0fffffff,151,1123,1344,0.8355654761904762,14,14,1.0
251,0,4,861181b2fffffff,166,1872,3101,0.6036762334730732,25,25,1.0
252,0,4,861181b47ffffff,521,4229,5711,0.7405007879530731,8,9,0.8888888888888888
253,0,4,861181b4fffffff,587,5586,9587,0.5826640241994367,122,130,0.9384615384615385
254,0,4,861181b5fffffff,12,112,133,0.8421052631578947,1,1,1.0
255,0,4,861181b67ffffff,800,12491,19011,0.6570406606701383,172,184,0.9347826086956522
256,0,4,861181b6fffffff,604,6586,10929,0.6026168908408821,97,105,0.9238095238095239
257,0,4,861181b77ffffff,306,3025,5228,0.5786151491966335,34,36,0.9444444444444444
258,0,4,861181b8fffffff,19,92,103,0.8932038834951457,2,2,1.0
259,0,4,86118cd27ffffff,58,484,821,0.5895249695493301,16,17,0.9411764705882353
260,0,4,86118cd37ffffff,21,46,53,0.8679245283018868,1,1,1.0
261,0,4,8611aa09fffffff,124,1523,2796,0.5447067238912733,37,38,0.9736842105263158
262,0,4,8611aa0afffffff,30,114,143,0.7972027972027972,1,1,1.0
263,0,4,8611aa0b7ffffff,3,32,33,0.9696969696969697,1,1,1.0
