,is_weekend,hour,hex_6,unique_drivers,util,cdr
1073,0,14,8611aa687ffffff,868,0.42966983265490727,1.0
1074,0,14,8611aa68fffffff,120,0.6170212765957447,0.8888888888888888
1075,0,14,8611aa697ffffff,521,0.38593243868579363,0.5
1076,0,14,8611aa6a7ffffff,1138,0.5000291528190776,0.9047619047619048
1077,0,14,8611aa6afffffff,729,0.530828025477707,1.0
1078,0,14,8611aa6b7ffffff,666,0.4326973569053037,0.945054945054945
1079,0,14,8611aa6dfffffff,79,0.4918032786885246,1.0
1080,0,14,8611aa707ffffff,815,0.551094625063641,0.9590163934426229
1081,0,14,8611aa70fffffff,851,0.583121922101179,0.9383561643835616
1082,0,14,8611aa717ffffff,1321,0.5664992356409696,0.9804878048780488
1083,0,14,8611aa71fffffff,1361,0.555924013453977,0.9252873563218391
1084,0,14,8611aa727ffffff,820,0.5420059787650757,1.0
1085,0,14,8611aa72fffffff,744,0.5160070582304008,0.8484848484848485
1086,0,14,8611aa737ffffff,732,0.589301723279211,0.9696969696969697
1087,0,14,8611aa747ffffff,2,1.0,0.0
1088,0,14,8611aa74fffffff,13,0.74375,1.0
1089,0,14,8611aa757ffffff,507,0.5552332068734658,0.9487179487179487
1090,0,14,8611aa777ffffff,339,0.5474040632054176,1.0
1091,0,14,8611aa787ffffff,1463,0.5592847769028871,0.9074074074074074
1092,0,14,8611aa78fffffff,1889,0.5441722873032777,0.9557522123893806
1093,0,14,8611aa797ffffff,968,0.4982319292771711,0.937007874015748
1094,0,14,8611aa79fffffff,1047,0.4303098170959313,0.8433734939759037
1095,0,14,8611aa7a7ffffff,1168,0.5727172230820252,0.884393063583815
1096,0,14,8611aa7afffffff,1885,0.641904870580628,0.9326241134751773
1097,0,14,8611aa7b7ffffff,876,0.573800827854882,0.9310344827586207
1098,0,15,861181a47ffffff,13,0.5423728813559322,1.0
1099,0,15,861181a6fffffff,161,0.3045781309118426,0.6666666666666666
1100,0,15,861181b0fffffff,155,0.46774193548387094,1.0
1101,0,15,861181b2fffffff,132,0.5302547770700637,1.0
1102,0,15,861181b47ffffff,586,0.45929945732609767,0.8333333333333334
1103,0,15,861181b4fffffff,505,0.4319478402607987,0.6666666666666666
1104,0,15,861181b67ffffff,928,0.4659049023221526,0.9538461538461539
1105,0,15,861181b6fffffff,574,0.47161135545781685,0.9642857142857143
1106,0,15,861181b77ffffff,318,0.5253819615574175,0.8888888888888888
1107,0,15,86118cd27ffffff,21,0.2664233576642336,0.0
1108,0,15,8611aa09fffffff,170,0.6120632827949901,0.9655172413793104
1109,0,15,8611aa0afffffff,35,0.4666666666666667,1.0
1110,0,15,8611aa0b7ffffff,16,0.7402597402597403,1.0
1111,0,15,8611aa0e7ffffff,28,0.6517857142857143,1.0
1112,0,15,8611aa197ffffff,67,0.5982905982905983,1.0
1113,0,15,8611aa40fffffff,75,0.28346456692913385,1.0
1114,0,15,8611aa447ffffff,607,0.5469567612228037,1.0
1115,0,15,8611aa44fffffff,524,0.569590481460985,0.8888888888888888
1116,0,15,8611aa457ffffff,178,0.5436934997847611,0.9615384615384616
1117,0,15,8611aa45fffffff,946,0.47028592110025336,0.9710144927536232
1118,0,15,8611aa467ffffff,46,0.6819221967963387,1.0
1119,0,15,8611aa46fffffff,600,0.5407580477673936,0.0
1120,0,15,8611aa4c7ffffff,278,0.4948453608247423,0.925
1121,0,15,8611aa4cfffffff,686,0.4454066705675834,0.9661016949152542
1122,0,15,8611aa4d7ffffff,69,0.46339285714285716,0.9333333333333333
